time(ns) r(mm) y(mm) mom(GeV)
5.05814 -21.3822 0.231 3091.96
5.09913 30.1807 -1.80982 3102.14
5.08094 0.287447 16.7493 3090.85
5.12692 -29.6952 -0.965673 3093.26
5.09432 30.107 -1.53667 3101.92
5.06215 -15.601 -9.27618 3092.93
5.08764 19.6304 -6.52116 3102.16
5.07422 -18.0102 5.02909 3094.56
5.07725 -6.27418 -11.2326 3093.44
5.13583 -7.13948 -17.7175 3099.72
5.09383 9.35748 -9.13656 3096.28
5.08304 -2.76435 -1.17643 3095.88
5.08784 -0.0182321 3.89652 3097.61
5.04903 28.055 -1.28848 3101.37
5.1029 23.7543 14.3628 3101.23
5.07091 27.1238 -6.60072 3101.42
5.0023 -4.99152 3.24042 3100.75
5.12991 11.7479 -14.2558 3100.48
5.0591 -2.33812 -4.15525 3095.18
5.10767 4.09837 -11.6711 3099.73
5.09258 -17.8223 -4.19268 3093.83
5.09457 -20.5634 2.06334 3092.05
5.10572 -8.36163 -8.86547 3094.43
5.09214 -4.8254 -17.6502 3097.39
5.09011 -29.4678 3.17467 3091.76
5.02086 -10.5821 -1.50888 3094.18
5.01522 6.6364 -10.8798 3096.67
5.07731 27.1067 5.52875 3100.11
5.04348 1.44484 -7.79356 3095.05
5.09787 -3.13451 -1.71335 3094.22
5.07236 12.7001 -14.402 3096.37
5.07515 -22.5059 -12.0287 3093.35
5.07608 4.86808 -5.14216 3095.73
5.14072 -7.78679 13.2229 3095.53
5.06727 -14.268 -0.848258 3091.66
5.07407 -12.8653 16.2621 3091.41
5.05052 -2.03545 3.10584 3090.9
5.05806 23.5214 -1.73046 3095.59
5.11537 -22.2816 -13.2965 3094.69
5.07766 12.2139 -12.3828 3096.43
5.12296 -2.44187 -1.52316 3097.83
5.039 -10.2545 21.2702 3092.69
5.06401 16.7226 2.15285 3097.42
5.03183 0.321459 -4.41193 3094.35
5.04775 -1.09826 -19.7223 3096.29
5.08272 -13.5987 -13.4168 3092.84
5.10983 -20.5821 -13.1394 3094.9
5.10769 -22.4119 -10.6353 3093.33
5.12368 11.7463 -6.3022 3102.5
5.08745 18.8185 -3.88826 3099.09
5.11339 -23.9316 -3.20602 3093.27
5.11341 -17.4174 -4.29141 3098.12
5.01886 14.7779 -4.60457 3097.46
5.05663 -1.90798 -8.15781 3094.05
5.0701 -5.53483 -25.2661 3094.44
5.0858 4.44993 -19.7956 3098.9
5.10328 -24.5727 1.51112 3093.16
5.06012 19.8488 0.699601 3095.96
5.04636 -10.9647 -2.92935 3092.09
5.06042 -24.8179 -17.1287 3090.61
5.01526 -0.662728 9.99425 3099.65
5.11461 -10.4168 -11.5467 3094.74
5.08096 13.14 -7.50787 3096.48
5.08261 1.4388 -3.06078 3095.97
5.10172 -4.51553 10.7884 3095.36
5.07167 1.39187 -6.76653 3091.13
5.06121 -3.31013 -6.25386 3094.83
5.09705 -5.81961 16.3184 3096.25
5.05993 -11.584 4.26193 3093.07
5.04755 -5.59055 -18.5804 3093.64
5.11468 4.41975 12.4651 3098.18
5.0886 -19.4475 -14.7765 3092.62
5.07457 1.88328 -10.3323 3098.91
5.11737 11.3774 3.86258 3100.91
5.03034 -19.4125 -6.12644 3091.22
5.05434 20.2645 8.06901 3095.22
5.06787 1.92051 -2.12708 3093.52
5.0802 -30.2394 -3.9966 3090.55
5.10342 -7.15096 -2.98419 3097.54
