time(ns) r(mm) y(mm) mom(GeV)
5.11461 -10.4168 -11.5467 3094.74
5.05993 -11.584 4.26193 3093.07
5.07457 1.88328 -10.3323 3098.91
5.03034 -19.4125 -6.12644 3091.22
5.05434 20.2645 8.06901 3095.22
5.0802 -30.2394 -3.9966 3090.55
5.08181 20.5387 -18.2756 3100.4
5.13482 -1.77616 -22.2341 3099.51
5.10445 -7.0581 -12.5194 3098.9
5.12839 -29.6202 6.02945 3095.31
5.04572 -24.7084 8.85176 3088.1
5.1145 19.9157 13.7791 3101.22
5.07032 -7.33334 4.0763 3093.76
5.03837 -1.60316 -4.91767 3095.96
5.05073 -17.4151 -4.95961 3090.93
5.06874 -34.6474 -10.846 3088.78
5.068 7.6151 -2.42647 3097.63
5.07899 11.9463 -13.8451 3094.76
5.09296 -7.17958 -4.34773 3093.54
5.11776 5.03173 -25.048 3094.02
5.09324 -26.0554 -7.50679 3094.15
5.07107 -18.9186 -5.94015 3092.47
5.08155 9.65969 6.02428 3099.22
5.13611 -16.3238 -3.49162 3096.65
5.09653 25.6166 10.9715 3099.8
5.09893 -23.1237 -3.65885 3092.84
5.05591 -12.2244 9.43111 3090.36
5.02318 39.7115 -0.199266 3100.07
5.03133 -13.1566 -12.508 3092.04
5.10752 30.493 0.54853 3101.33
5.04766 -1.91201 -0.648233 3094.67
5.09991 -26.7356 7.52446 3095.06
5.08733 26.6225 6.5178 3099.17
5.119 -4.02339 6.90616 3100.61
5.10385 7.66647 -15.0307 3099.88
5.08009 -3.74714 -7.80613 3094.38
5.0649 -13.8415 5.58582 3092.83
5.05515 3.17107 -13.6342 3097.06
5.07257 -20.7818 -11.3498 3088.14
5.05316 19.9497 -24.2703 3099.7
5.1069 -26.4052 -9.70379 3094.61
5.13071 -12.1533 12.1692 3096.4
5.06385 16.0505 1.64405 3097.34
5.03761 -1.44832 -11.9767 3093.58
5.12421 21.4759 6.57335 3102.01
5.05045 -0.985967 13.7536 3092.21
5.05462 14.0458 -11.1914 3096.61
5.08912 -16.1474 -12.7737 3095.74
5.0759 34.662 16.6535 3100.53
5.12467 -30.032 -9.78249 3094.77
5.06435 -20.6071 -6.22196 3091.95
5.11249 15.687 -3.722 3101.14
5.11498 -4.66805 4.23417 3095.48
5.05993 -2.06695 -5.66715 3094.96
5.07249 6.79492 4.81964 3096
5.08477 -4.06422 6.44279 3094.55
5.08402 -9.47399 -10.9738 3093
5.0424 18.2314 -11.8316 3097.58
5.07872 -10.6109 2.85479 3093.36
5.1411 -18.0766 -3.66352 3096.58
5.09754 3.43004 -11.9289 3099.29
5.12063 -8.35092 -7.79521 3098.67
5.07896 -10.416 -22.6298 3093.83
5.06533 3.81482 0.535805 3091.86
5.11782 8.06607 -20.062 3100.23
5.09246 -13.0013 -7.10079 3094.98
5.11854 24.4191 -5.36121 3102.3
5.08539 -18.4589 -7.5648 3092.7
5.02995 5.18719 -7.07911 3096.83
5.08926 6.05893 -6.77884 3098.52
5.0759 -7.47556 -6.99905 3094.47
5.04772 25.8185 3.0073 3101.42
5.10728 -18.8361 -7.925 3093.89
5.14527 -1.35649 -16.4933 3100.52
5.03466 -5.67861 2.02887 3094.3
5.06776 30.8129 -24.3186 3096.27
5.13818 -16.0886 11.1368 3094.98
5.07159 -7.51372 9.48848 3093.91
5.07665 -17.8671 -5.85865 3089.51
5.07478 -13.8708 -9.24191 3094.47
5.03435 -1.25026 -9.06703 3094.55
5.08643 10.7366 2.61457 3099.34
5.08389 27.6879 -16.9808 3098.69
5.07161 -1.59347 -5.97782 3095.48
5.10013 7.89322 -5.13217 3099.58
5.08626 1.35032 -11.2837 3096.34
5.07558 -17.8672 -2.81267 3092.42
5.09969 -12.0084 -5.37348 3095.76
5.10401 -37.4762 4.27753 3093.93
5.10146 -13.3827 -10.4308 3092.21
5.10046 16.3433 -15.2997 3099.4
5.07421 -21.3853 -3.76357 3093.2
5.09412 1.48099 -1.45866 3098.36
5.10222 0.734376 0.179031 3098.21
5.01982 15.3508 -8.26583 3103.87
5.06933 -12.7197 -15.0216 3091.02
5.07451 11.1332 -15.2478 3095.02
5.05333 -5.6935 2.35423 3095.78
5.09259 -8.39802 -7.69577 3097.11
5.07435 21.7004 1.13181 3097.24
5.05079 4.28943 -5.74124 3096.16
5.04214 -0.334873 -0.959702 3093.47
5.08744 -22.3756 -0.234475 3092.45
5.04266 -18.7629 4.58168 3090.38
5.10035 -10.9716 -18.531 3095.65
5.08726 2.09332 -3.67064 3095.37
5.13432 14.7656 -10.7958 3103.88
5.06477 2.2701 -9.26786 3097.74
5.07166 -13.2152 1.50375 3093.34
5.09085 -23.225 -10.7008 3092.43
5.05078 19.7758 -6.31644 3096.48
5.02012 -7.7644 7.3864 3093.32
5.07325 14.9063 -2.71143 3099.73
5.06039 -15.3387 5.60626 3092.93
5.05649 17.9146 -11.0067 3098.92
5.09352 21.2726 -2.50792 3099.31
5.0466 12.1618 4.31795 3095.66
5.05149 8.41764 -4.91051 3094.81
5.06423 20.339 -9.54087 3100.41
5.06332 15.3498 13.6259 3097.95
5.06102 -23.7154 13.4664 3093.32
5.10268 4.74523 -7.47976 3096.72
5.06697 -8.61803 3.80633 3090.9
5.12282 -10.8876 5.59797 3095.3
5.07113 -28.3461 1.18541 3091.51
5.07929 8.60137 -24.3028 3096.12
5.14114 -28.0141 -0.481852 3094.84
5.09202 4.2425 -5.97011 3098.58
5.07777 17.1213 -8.87861 3098.26
5.04064 33.1159 -6.91444 3102.98
5.09665 4.59536 4.18535 3099.31
5.0454 -11.0624 -14.044 3092.51
5.10219 -9.25871 4.31529 3096.61
5.06523 2.53821 2.2949 3093.22
5.10815 13.0484 0.607555 3100.76
5.07121 18.4463 -23.9606 3093.99
5.07876 9.11189 18.2736 3097.1
5.09174 21.9064 -17.4876 3097.6
5.10333 -17.1587 -2.18692 3095.8
5.06651 2.48701 4.15527 3096.05
5.07326 18.6779 -13.6611 3099.03
5.07307 -13.8052 -16.0628 3092.52
5.0592 15.6544 -4.36232 3094.51
5.07487 3.42503 2.66943 3094.71
5.07684 6.80594 7.03394 3099.94
5.07472 -22.2788 0.639967 3091.23
5.0927 2.60471 -2.27591 3097.46
5.09413 7.55064 12.587 3098.91
5.07871 27.1151 -9.09809 3098.8
5.05622 27.7601 4.00881 3100.63
5.089 -29.6458 -2.00799 3092.78
5.1381 -11.6918 10.7556 3096.63
5.06 -8.14173 -2.12797 3094.5
5.12879 -23.0005 -3.6706 3095.56
5.11046 14.9479 -12.2908 3098.92
5.07295 -17.0825 6.65821 3093.41
5.03652 -27.9616 5.17649 3088.56
5.06137 12.9788 -11.7208 3098.52
5.06017 4.0344 -14.2343 3094.13
5.06035 -23.3098 7.2752 3089.54
5.06493 5.48817 -23.9361 3092.54
5.14282 -9.92541 -20.7003 3095.61
5.04771 25.1012 16.2482 3097.66
5.0816 7.8387 -3.78448 3097.75
5.10983 -4.94037 3.83032 3098.89
5.05016 -6.33639 -2.48852 3094.05
5.07719 0.193439 -3.56285 3096.5
5.10925 -25.5453 13.7911 3096.02
5.10886 -16.7034 -5.55235 3097.59
5.08874 1.07169 -17.0823 3097.26
5.08263 -31.8845 -1.52513 3089.78
5.0788 -3.75182 10.2415 3091.9
5.08749 22.4425 -11.1691 3097.91
5.0227 1.52467 -7.1421 3096.56
5.11445 -13.6851 -28.7893 3096.26
5.05412 7.89893 -19.5217 3098.56
5.08835 -23.7218 -14.2374 3094.45
5.05716 23.9358 11.2191 3100.93
5.07095 11.7016 -4.34649 3097.81
5.10437 10.2734 -2.43269 3099.13
5.05519 -21.1881 0.910271 3091
5.07486 -12.5439 -18.5976 3094.52
5.11818 -3.25037 18.6324 3098.46
5.06283 15.1235 -1.82467 3098.5
5.09699 15.3671 -3.11427 3098.08
5.07823 29.3883 -5.13088 3100.59
5.12285 -16.4389 -2.8932 3097.18
5.1054 -8.88224 -10.7341 3099.43
5.05277 -6.44068 3.10463 3095.66
5.08484 6.83417 -26.3026 3091.5
5.03937 -6.99509 -17.5774 3091.78
5.08332 -7.74349 -5.70527 3091.1
5.0775 -16.8346 -14.3534 3092.8
5.10094 -0.614006 -22.3341 3096.17
5.05753 -8.4646 -13.7048 3094.46
5.08552 -5.20276 -4.51415 3096.18
5.11758 -29.7179 -7.1657 3092.19
5.00444 8.53534 -15.4623 3092.72
5.05779 2.72997 -11.1702 3092.79
5.09743 -10.3814 -0.10811 3095.97
5.06279 26.9361 16.8146 3100.6
5.05555 19.6441 -14.6784 3098.36
5.04952 27.2975 -1.12334 3094.45
5.06879 2.74437 -15.7227 3099.67
5.08354 5.42506 0.739124 3094.98
5.0794 -9.85052 6.07816 3093.73
5.05296 -6.26288 -10.7687 3095.51
5.10601 -25.4284 -4.25268 3092.75
5.07157 11.2018 -2.28153 3098.1
5.104 -35.7144 -3.38786 3091.49
5.10088 -10.4943 -1.16683 3096.98
5.07768 -14.1218 -14.3775 3095.28
5.04094 17.8704 -10.8716 3097
5.11881 -6.24351 -32.8669 3097.68
5.13637 13.3913 27.3632 3095.36
5.09098 -5.35166 3.87773 3093.84
5.14567 0.18268 -9.56247 3099.43
5.09612 -26.2214 3.50979 3092.67
5.07052 -16.3338 -8.82552 3092.66
5.04138 15.7042 1.40154 3097.24
5.06701 33.3308 -3.506 3102.29
5.1283 -16.1425 -6.72357 3095.82
5.08294 0.315989 -5.0378 3098.28
5.01899 15.0538 6.55508 3097.71
5.07675 19.363 -17.7672 3101
5.03163 39.5448 -7.66199 3102.35
5.08176 3.14484 -6.15334 3096.19
5.08574 -1.82855 -2.1775 3096.64
5.04696 -14.4307 -4.79696 3088.91
5.0938 8.38006 -7.43436 3097.92
5.08543 8.6664 -2.13159 3096.65
5.12041 -26.3657 -11.3047 3095.91
5.12782 7.45706 -7.16542 3099.12
5.10453 -13.6256 -5.88263 3096.96
5.06515 -26.1418 -9.52174 3092.7
5.11822 -3.56948 -1.84133 3097.51
5.07379 14.4185 18.9526 3097.91
5.13326 -3.04431 16.7507 3094.77
5.05952 11.0433 -13.9208 3098.85
5.07186 2.41654 2.3755 3094.7
5.09144 -15.6442 -21.6414 3096.14
5.08114 12.1964 -5.71764 3097.42
5.00503 19.0291 1.21645 3093.8
5.07743 32.9104 2.80067 3101.15
5.09687 -6.94695 -9.40203 3097.77
5.10552 -16.9084 -0.288785 3097.32
5.07304 -6.78252 -3.33266 3093.23
5.06246 -17.6366 -11.7972 3091.66
5.0572 -10.7951 -9.85506 3092.83
5.09165 -16.46 -12.7963 3095
5.11978 -7.93069 -14.4421 3098.31
5.07401 -8.62992 0.433843 3094.08
5.0679 -19.8328 -7.34973 3091.15
5.09455 26.6989 -8.02213 3100.54
5.06986 -17.3447 -7.04733 3092.82
5.06832 -25.8686 -8.75726 3088.51
5.09657 -17.881 4.38563 3094.48
5.07142 -10.8837 4.26368 3093.1
5.03335 -15.1411 -7.71368 3090.28
5.03213 3.18351 -14.3191 3096.79
5.09034 4.84955 -31.0104 3097.53
5.03628 -15.8918 0.400542 3089.78
5.09026 5.28972 -11.4941 3099.27
5.08672 -9.28207 -10.5943 3096.71
5.10245 14.6458 -6.89497 3098.93
5.00238 -1.14107 -10.8717 3099.58
5.0368 -11.7481 2.79714 3090.16
5.08256 17.2346 7.46927 3099.42
5.1229 -2.21015 4.70303 3098.96
5.07092 20.9884 -20.2203 3100.94
5.13812 -7.16749 -0.930969 3098.85
5.07797 -7.09051 -7.31803 3094.52
5.04028 -9.60795 10.4786 3087.43
5.13782 -15.1517 -20.2324 3097.61
5.03406 32.7468 -0.501072 3098.69
5.07469 -15.0058 7.26997 3091.95
5.10909 5.998 -2.78009 3099.56
5.0931 8.75807 3.79722 3098.52
5.08361 -0.760188 -2.63732 3097.88
5.0909 -14.1777 -4.70933 3094.62
5.06719 -21.7384 -1.892 3091.58
5.10718 16.0583 -1.94103 3102.03
5.08427 -12.6922 -7.84741 3096.78
5.05301 6.84645 -21.2698 3093.46
5.06911 -17.7326 -15.756 3094.52
5.03967 37.5315 6.29656 3101.12
5.05354 -18.1226 -7.92595 3091.27
5.06728 24.6409 17.203 3098.37
5.06545 -27.3259 -10.9914 3090.29
5.05562 -12.8739 -8.64654 3092.22
5.04779 -9.32881 -18.3182 3089.93
5.11031 -32.9263 -1.43074 3094.94
5.08441 16.7472 -16.4367 3098.12
5.11733 -23.3522 -8.74094 3094.63
5.08207 -12.7004 7.02074 3093.57
5.05064 -12.9093 2.36101 3091.34
5.0156 -5.05228 -8.89019 3094.81
5.05004 30.9913 14.2325 3097.34
5.14267 6.83799 -10.1429 3102.12
5.09409 13.734 -20.1226 3101.18
5.08093 -30.1253 -6.62378 3092.47
5.09201 8.48384 -12.0765 3096.19
5.0306 17.0594 -0.740253 3096.26
5.02115 2.26953 16.8076 3095.15
5.06451 -1.04555 4.93868 3094
5.10259 12.7028 -17.85 3099.91
5.10979 13.1606 -25.4013 3100.09
5.08001 -11.0441 2.67978 3094.82
5.03176 37.1596 -10.5249 3100.82
5.04991 -14.7505 -13.0883 3091.65
5.06721 9.12097 -15.6765 3095.22
5.09069 -33.5226 -11.1559 3090.56
5.06989 4.28927 -1.55974 3096.91
5.07992 -10.1132 10.1408 3093.37
5.07989 -21.4706 -16.0907 3093.84
5.08016 25.0377 -6.09485 3098.71
5.08065 1.14971 -2.11979 3097.53
5.01175 25.7581 -20.6149 3097.96
5.00064 8.91674 6.21645 3102.57
5.08741 -17.0592 -4.26471 3092.86
5.05716 -23.204 -9.65125 3094.09
5.06963 -16.991 3.59306 3092.28
5.03314 -1.19912 -6.56385 3094.94
5.05865 -11.6049 -14.0778 3094.21
5.07723 8.10454 7.5448 3099.31
5.06668 -28.7861 -9.69685 3088.49
5.13208 -5.53545 8.14024 3096.95
5.09228 17.3827 -11.3592 3100.08
5.07937 22.1177 4.46261 3101.69
5.1356 -0.677412 -12.8512 3100.34
5.06519 -5.3476 -4.50955 3094.21
5.05569 27.6055 -8.85983 3092.96
5.07192 -20.1494 -3.405 3091.89
5.05391 -11.3192 -15.4696 3091.46
5.06204 9.07893 -9.9614 3097.94
